Post ID,發布時間 (GMT+8),貼文連結,抓取日期,讚數,留言數,分享數,點擊數,觸及人數,影片觀看,自然觀看,付費觀看,讚,愛心,哇,哈哈,嗚嗚,怒,data_updated_at
103640919705348_1178339901156772,2025-12-15 10:00:36,https://www.facebook.com/1115814590742637/posts/1178339901156772,2025-12-18,26,1,8,77,1168,0,0,0,23,3,0,0,0,0,2026-01-15 14:58:28
103640919705348_1178339901156772,2025-12-15 10:00:36,https://www.facebook.com/1115814590742637/posts/1178339901156772,2025-12-17,26,1,8,74,1081,0,0,0,23,3,0,0,0,0,2026-01-15 14:58:28
103640919705348_1178339901156772,2025-12-15 10:00:36,https://www.facebook.com/1115814590742637/posts/1178339901156772,2025-12-16,21,1,7,68,963,0,0,0,18,3,0,0,0,0,2026-01-15 14:58:28
103640919705348_4280302045579531,2025-12-11 09:30:00,https://www.facebook.com/1115814590742637/videos/4280302045579531,2025-12-18,22,4,0,20,917,25,25,0,0,0,0,0,0,0,2026-01-15 14:58:28
103640919705348_4280302045579531,2025-12-11 09:30:00,https://www.facebook.com/1115814590742637/videos/4280302045579531,2025-12-17,22,4,0,20,903,19,19,0,0,0,0,0,0,0,2026-01-15 14:58:28
103640919705348_4280302045579531,2025-12-11 09:30:00,https://www.facebook.com/1115814590742637/videos/4280302045579531,2025-12-16,22,4,0,20,883,26,26,0,0,0,0,0,0,0,2026-01-15 14:58:28
103640919705348_1174874021503360,2025-12-10 15:00:08,https://www.facebook.com/1115814590742637/posts/1174874021503360,2025-12-18,2025-12-18,47,10,716,6291,0,0,0,99,0,0,12,0,4,2026-01-15 14:58:28
103640919705348_1174874021503360,2025-12-10 15:00:08,https://www.facebook.com/1115814590742637/posts/1174874021503360,2025-12-17,115,47,10,716,6241,0,0,0,99,0,0,12,0,4,2026-01-15 14:58:28
103640919705348_1174874021503360,2025-12-10 15:00:08,https://www.facebook.com/1115814590742637/posts/1174874021503360,2025-12-16,115,47,10,715,6175,0,0,0,99,0,0,12,0,4,2026-01-15 14:58:28
103640919705348_822582697438772,2025-12-10 10:01:03,https://www.facebook.com/1115814590742637/videos/822582697438772,2025-12-18,21,0,0,19,568,6,6,0,0,0,0,0,0,0,2026-01-15 14:58:28
103640919705348_822582697438772,2025-12-10 10:01:03,https://www.facebook.com/1115814590742637/videos/822582697438772,2025-12-17,20,0,0,19,563,5,5,0,0,0,0,0,0,0,2026-01-15 14:58:28
103640919705348_822582697438772,2025-12-10 10:01:03,https://www.facebook.com/1115814590742637/videos/822582697438772,2025-12-16,20,0,0,19,555,5,5,0,0,0,0,0,0,0,2026-01-15 14:58:28
103640919705348_1170621065261989,2025-12-04 18:30:06,https://www.facebook.com/1115814590742637/posts/1170621065261989,2025-12-18,48,4,4,272,12422,0,0,0,43,0,1,4,0,0,2026-01-15 14:58:28
103640919705348_1170621065261989,2025-12-04 18:30:06,https://www.facebook.com/1115814590742637/posts/1170621065261989,2025-12-17,48,4,4,272,12422,0,0,0,43,0,1,4,0,0,2026-01-15 14:58:28
103640919705348_1170621065261989,2025-12-04 18:30:06,https://www.facebook.com/1115814590742637/posts/1170621065261989,2025-12-16,48,4,4,272,12419,0,0,0,43,0,1,4,0,0,2026-01-15 14:58:28
103640919705348_1168990698758359,2025-12-02 12:00:13,https://www.facebook.com/1115814590742637/posts/1168990698758359,2025-12-18,57,6,3,169,2535,0,0,0,57,0,0,0,0,0,2026-01-15 14:58:28
103640919705348_1168990698758359,2025-12-02 12:00:13,https://www.facebook.com/1115814590742637/posts/1168990698758359,2025-12-17,57,6,4,169,2531,0,0,0,57,0,0,0,0,0,2026-01-15 14:58:28
103640919705348_1168990698758359,2025-12-02 12:00:13,https://www.facebook.com/1115814590742637/posts/1168990698758359,2025-12-16,57,6,4,169,2531,0,0,0,57,0,0,0,0,0,2026-01-15 14:58:28
103640919705348_1168442732146489,2025-12-01 18:00:09,https://www.facebook.com/1115814590742637/posts/1168442732146489,2025-12-18,26,2,13,78,1448,0,0,0,26,0,0,0,0,0,2026-01-15 14:58:28
103640919705348_1168442732146489,2025-12-01 18:00:09,https://www.facebook.com/1115814590742637/posts/1168442732146489,2025-12-17,26,2,13,77,1444,0,0,0,26,0,0,0,0,0,2026-01-15 14:58:28
103640919705348_1168442732146489,2025-12-01 18:00:09,https://www.facebook.com/1115814590742637/posts/1168442732146489,2025-12-16,26,2,13,75,1434,0,0,0,26,0,0,0,0,0,2026-01-15 14:58:28
103640919705348_1166355785688517,2025-11-28 21:00:03,https://www.facebook.com/1115814590742637/posts/1166355785688517,2025-12-18,17,1,0,35,1081,0,0,0,14,2,0,0,0,1,2026-01-15 14:58:28
103640919705348_1166355785688517,2025-11-28 21:00:03,https://www.facebook.com/1115814590742637/posts/1166355785688517,2025-12-17,17,1,0,35,1079,0,0,0,14,2,0,0,0,1,2026-01-15 14:58:28
103640919705348_1166355785688517,2025-11-28 21:00:03,https://www.facebook.com/1115814590742637/posts/1166355785688517,2025-12-16,17,1,0,35,1074,0,0,0,14,2,0,0,0,1,2026-01-15 14:58:28
103640919705348_1166259362364826,2025-11-28 18:00:08,https://www.facebook.com/1115814590742637/posts/1166259362364826,2025-12-18,610,464,11,10536,77138,0,0,0,205,2,3,279,1,120,2026-01-15 14:58:28
103640919705348_1166259362364826,2025-11-28 18:00:08,https://www.facebook.com/1115814590742637/posts/1166259362364826,2025-12-17,610,464,11,10536,77138,0,0,0,205,2,3,279,1,120,2026-01-15 14:58:28
